,c_TotalGFA_mean,distanceCenter,angleCenter,BuildingAge,NumberofFloors,NumberofBuildings_mean,ENERGYSTARScore_mean,c_PropertyType_<K-12 School>,c_PropertyType_<Retail Store>,c_PropertyType_<Small- and Mid-Sized Office>,c_PropertyType_<Entertainment/Public Assembly>,c_PropertyType_<Large Office>,c_PropertyType_<Warehouse>,c_PropertyType_<Medical Office>,c_PropertyType_<Other>,c_PropertyType_<Mixed Use Property>,c_PropertyType_<Worship Facility>,c_PropertyType_<Restaurant>,c_PropertyType_<Hospital>,c_PropertyType_<Hotel>,c_PropertyType_<University>,c_PropertyType_<Self-Storage Facility>,c_PropertyType_<Office>,c_PropertyType_<Senior Care Community>,c_PropertyType_<Distribution Center>,c_PropertyType_<Parking>,c_PropertyType_<Data Center>,c_PropertyType_<Laboratory>,c_PropertyType_<Supermarket/Grocery Store>,c_PropertyType_<Refrigerated Warehouse>,c_PropertyType_<Manufacturing/Industrial Plant>,c_MainEnergy_<NaturalGas(kBtu)>,c_MainEnergy_<Electricity(kBtu)>,c_MainEnergy_<SteamUse(kBtu)>,GHGEmissions_mean,SiteEnergyUse_comp_mean
2408,23050.0,2.6108703871992094,115.97038961753309,93,1.0,1.0,32.69211585377276,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.921658350281541,15.27223309336441
2466,21600.0,0.7806139569886964,240.59116789906503,115,2.0,1.0,81.25053192207727,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2468600779315258,12.123152886443798
2703,20760.0,6.556938892091229,73.59991090217846,87,2.0,1.0,68.65058236641075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.890095369948917,13.76434041388815
2991,23098.0,3.3260488979881018,137.50556156758665,7,2.0,1.0,63.69101173742084,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.55597994179732,14.933500220122287
3037,21228.0,1.7862298539993762,33.47738194762249,95,2.0,1.0,64.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.7191887763932197,13.592403255993048
3246,48159.0,2.188891017635772,28.155054016861424,2,6.0,1.0,100.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.366091653802371,13.240151746379823
3272,808520.0,5.567180927567305,152.5865016714209,13,4.0,7.0,11.405949077251009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.482572760719284,18.875631926409245
3340,88434.0,1.2064225301779086,138.85282410919348,89,12.0,1.0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.520280221114084,15.776164481438604
3341,103566.0,1.0108834746935034,116.87790872910483,20,11.0,1.0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.63366396988174,15.940303560625793
3342,806868.0,1.349164116632916,133.03289092329177,47,41.0,1.0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.637899548428204,18.104048681961636
3344,191454.0,1.5283588797659586,140.79007645872275,36,18.0,1.0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.2272380043222135,16.4897266189117
3345,88830.0,1.451121744546294,121.14672291743022,17,2.0,1.0,38.089960484701336,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.7144421248400175,16.306188148793417
3346,81352.0,1.0382773565634924,108.8055703304653,90,11.0,1.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.259056652594734,15.60824854828437
3347,102761.0,0.9287225070244153,100.62513352875466,90,8.0,1.0,77.73866061021415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.350672596881965,15.665878618183585
3348,163984.0,0.3914747007241562,217.04566100377167,112,15.0,1.0,44.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.89132648179692,16.394130203646267
3350,133884.0,0.5242781361222446,156.38175536462595,47,11.0,1.0,39.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.451962199885515,16.547822693562505
3351,336640.0,0.443511123173797,148.7529325962579,18,25.0,1.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.596033214270336,17.123475936416472
3352,65009.0,0.45807236902956017,152.07886808117408,88,9.0,1.0,43.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.803778627814877,15.717868165028715
3353,353111.0,0.4229040115454938,127.2103660345978,36,33.0,1.0,57.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.49523534400027,16.93207981025084
3354,79990.0,0.4018357729812895,136.46880071441848,94,11.0,1.0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.212245309233003,16.188630043690644
3355,414987.0,0.38462100099883256,155.59854238047802,12,11.0,1.0,56.96372421215196,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.159687283378507,16.690169471489234
3356,130000.0,0.33321579789232786,172.34850055765435,86,6.0,1.0,55.95710352407886,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.046130273448887,16.132831369991063
3357,433329.0,0.22184993027579836,118.76172622321235,33,28.0,1.0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.658017464335387,17.3244882552055
3358,41688.0,0.19706366959520574,177.12145011547045,109,5.0,1.0,62.868304213501894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.595677455551089,15.836263558955453
3360,537150.0,0.27885375379278604,254.0294977722509,100,10.0,1.0,71.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.265908629539051,17.710572799374837
3361,385274.0,0.21100569723352977,-42.458513460109174,31,19.0,1.0,49.21340973247598,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.4659042774219,17.715054786311462
3362,58618.0,9.482960401450594,-44.05506237646091,55,2.0,1.0,95.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.6068556186353455,14.21888581719203
3363,88592.0,6.2149556582028564,77.31864140556512,15,6.0,1.0,84.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.5648168316388755,15.143173450242994
3364,125000.0,1.6245297215908299,116.286186324416,88,7.0,1.0,74.61338503880553,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.853121597486237,16.173314251242576
3365,67224.0,1.110635394886144,95.68833237551699,86,2.0,1.0,66.38865994002569,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.2412414627529937,14.11524878701544
3366,159176.0,0.8858509840339355,86.1854467640286,25,8.0,1.0,72.10067329634215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.53338948872752,15.472539439630417
3367,128909.0,1.421071340881968,89.28266329670379,15,10.0,1.0,38.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.78129891708403,16.217447696860173
3369,47994.0,1.7777664634809192,138.857227108093,38,5.0,1.0,58.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.8442264557623504,15.296946220993057
3370,164229.0,12.359445268558492,70.66015676090528,67,2.0,1.0,77.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.580767023759654,15.700073583189992
3372,63403.0,6.566578825175744,91.3196104547871,110,3.0,1.0,71.85837788747264,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.034221603902397,15.218502854356961
3373,81871.0,7.544147829028731,63.596969440782054,22,4.0,1.0,24.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.434529537672788,15.767719967807968
3374,26225.0,7.338349500066591,59.15193220194748,61,2.0,1.0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.340250422618484,12.652514936116319
3375,1856706.0,7.910423619259689,-80.33787703855826,24,3.0,1.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9.733350265139087,19.921163427481815
3376,838547.5,11.373928244315533,-66.32722673508367,55,2.0,5.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.776692110043519,17.650404345715412
3377,54986.0,8.858015450723748,139.58258008022165,26,2.0,1.0,94.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.405355391810819,14.318085437760725
3378,182861.0,9.444189265489838,65.78243586826339,66,2.0,1.0,88.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.5697176064255345,15.658169869187638
3379,94900.0,9.11265190440661,132.09732959463776,55,2.0,1.0,57.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.842768758271886,15.626295555239464
3381,175015.0,9.345177085048437,93.89574806028538,62,3.0,1.0,95.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.520600547850091,15.766761348940978
3382,70495.0,2.565559992845288,158.5190797887772,105,3.0,1.0,74.37823839600671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.753027273937688,14.582316341869758
3383,348630.0,0.62855828647788,128.90358493052196,47,24.0,1.0,67.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.633324244340946,16.582594531839607
3384,169531.0,1.0237063014817989,137.33739559368337,43,5.0,1.0,78.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.1798339482375155,16.05357750294655
3385,57428.0,1.0768555599546548,143.95131283992114,96,2.0,1.0,67.77153026670501,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5043554737647815,14.036541479246345
3386,39940.0,1.0855037650318085,146.28225964670142,106,8.0,1.0,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.4445761049641,15.318262743702824
3387,52459.0,0.9467697954890523,153.5011553772756,90,2.0,1.0,39.5441217932557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.369661228061952,16.543701989160983
3388,98634.0,0.9506246777181755,121.7602941419319,86,20.0,1.0,58.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.226760749903353,15.521837947909852
